time,message_type,combined_value,channel
0.07597112655639648,control_change,0,0
0.07597708702087402,control_change,0,0
0.07598423957824707,control_change,0,0
0.0759890079498291,control_change,0,0
0.07599520683288574,control_change,0,0
0.07605719566345215,control_change,0,0
0.0760641098022461,control_change,0,0
0.07606911659240723,control_change,0,0
0.07607412338256836,control_change,0,0
0.07645010948181152,control_change,0,0
0.07873201370239258,control_change,0,0
0.07881021499633789,control_change,0,0
0.0788261890411377,control_change,0,0
0.07886004447937012,control_change,0,0
0.07886695861816406,control_change,0,0
0.07914233207702637,control_change,0,0
0.07958316802978516,control_change,0,0
0.08003115653991699,control_change,0,0
0.08048415184020996,control_change,0,0
0.08092427253723145,control_change,0,0
0.08141016960144043,control_change,0,0
0.08182311058044434,control_change,0,0
0.08230924606323242,control_change,0,0
